AccSpeciesName,Unnamed: 0,OrigValueStr
Acacia praecox,69604.2,0
Acacia prainii,41881,1
Acacia pravissima,149409,0
Acacia pringlei,149410,0
Acacia prominens,148973,0
Acacia pruinocarpa,41882,1
Acacia pruinosa,148975,0
Acacia pubescens,148976,0
Acacia pubifolia,148977,0
Acacia pulchella,42539.66667,1
Acacia purpusii,145218,0
Acacia pycnantha,32902.75,1
Acacia pycnostachya,148979,0
Acacia pyrifolia,148980,0
Acacia quadrilateralis,148981,0
Acacia quadrimarginea,148982,0
Acacia quornensis,148983,0
Acacia ramulosa,41884.66667,1
Acacia repanda,148984,0
Acacia resinimarginea,148985,0
Acacia retinodes,148986,0
Acacia rhigiophylla,140122,1
Acacia rhodoxylon,148987,0
Acacia riceana,148988,0
Acacia richii,148989,0
Acacia rigens,4223,1
Acacia riparia,46069.33333,0.666666667
Acacia robusta,54078.22222,1
Acacia robusta subsp. clavigera,49933.66667,1
Acacia rossei,148990,0
Acacia rostellifera,148991,0
Acacia rothii,149412,0
Acacia rubida,148992,0
Acacia rugata,140239,1
Acacia saliciformis,148993,0
Acacia salicina,41890,1
Acacia saligna,109937,0.8
Acacia schinoides,148995,0
Acacia sclerophylla,148996,0
Acacia sclerosperma,148997,0
Acacia sekhukhuniensis,149413,0
Acacia semirigida,148998,0
Acacia senegal,51679.71429,0
Acacia senegalensis,149414,0
Acacia sertiformis,148999,0
Acacia sessiliceps,41892.33333,1
Acacia seyal,119922,0.666666667
Acacia sibilans,149001,0
Acacia siculiformis,149002,0
Acacia sieberiana,117219.8333,0.166666667
Acacia silvestris,149004,0
Acacia simsii,149005,0
Acacia sophorae,102531.5,0.5
Acacia spathulata,145220,0
Acacia spectabilis,149006,0
Acacia spondylophylla,41895.66667,1
Acacia stenophylla,69257,1
Acacia stipuligera,149418,0
Acacia stricta,29947,1
Acacia suaveolens,41160.45455,1
Acacia subporosa,149008,0
Acacia subtessarogona,149009,0
Acacia subtilinervis,142368,0
Acacia subulata,149010,0
Acacia sulcata,149011,0
Acacia sundra,149419,0
Acacia telmica,149012,0
Acacia tenuissima,41900.66667,1
Acacia terminalis,57284,1
Acacia tetragonophylla,61281.11111,1
Acacia torringtonensis,149013,0
Acacia tortilis,76208.21429,0.285714286
Acacia tortilis fo. spirocarpa,76439,0
Acacia tortilis subsp. raddiana,89981.30769,0
Acacia torulosa,23036,1
Acacia trachycarpa,149015,0
Acacia trinervata,149016,0
Acacia trineura,65818.5,1
Acacia triptera,32011.25,1
Acacia truncata,82273,1
Acacia tumida,149420,0
Acacia ulicifolia,56424.66667,1
Acacia uncinata,53437.4,1
Acacia urophylla,155057,0
Acacia venulosa,149017,0
Acacia verek,145224,0
Acacia verniciflua,32932.25,1
Acacia veronica,149018,0
Acacia verticillata,32030.25,1
Acacia vestita,149019,0
Acacia victoriae,66362,1
Acacia viguieri,145219,0
Acacia viscidula,149020,0
Acacia vittata,149021,0
Acacia wattsiana,149022,0
Acacia whibleyana,149023,0
Acacia wilhelmiana,34519.72222,1
Acacia wrightii,92847,0
Acacia xiphophylla,149024,0
Acacia yorkrakinensis,149025,0
Acaciella angustissima,143727,0
Acaciella glauca,149521,0
Acaena,139051,1
Acaena confertissima,138510,1
Acaena macrocephala,138511,1
Acaena ovalifolia,138283,1
Acaena pinnatifida,138284,1
Acaena platyacantha,138515,1
Acaena poeppigiana,138518,1
Acaena splendens,138400.5,1
Acaena subnitens,138514,1
Acaena tehuelcha,138515,1
Acaena trifida,138513,1
Acaia,145869,1
Acalypha,138987,1
Acalypha bipartita,62477.5,1
Acalypha caturus,69700.28571,1
Acalypha communis,85987,0
Acalypha cuneata,55667,1
Acalypha diversifolia,51075,1
Acalypha fruticosa,62592,1
Acalypha hispida,140064,1
Acalypha macrostachya,52505.5,1
Acalypha skutchii,33951.57143,1
Acalypha wilkesiana,142354,1
Acamptopappus sphaerocephalus,85420.6,0.8
Acanthaceae,139189,1
Acanthocladus scleroxylon,62785,1
Acanthococos,76441,1
Acantholimon diapensioides,33358,1
Acantholippia seriphioides,67925,1
Acantholippia trifida,66733.66667,1
Acanthopsis disperma,70844.5,0
Acanthospermum,137570,1
Acanthostyles buniifolius,89718,1
Acanthosyris annonagustata,60297.5,1
Acanthosyris falcata,67918.75,0
Acanthosyris glabrata,152633,1
Acanthus hirsutus,137400,0
Acanthus ilicifolius,47125.5,1
Acanthus mollis,138914,0
Acca sellowiana,144644,1
Acer,96556.95,0
Acer acuminatum,70479.33333,0
Acer amplum,55678,0
Acer amplum subsp. catalpifolium,152764,0
Acer argutum,104158.5,0
Acer barbinerve,71284.66667,0
Acer buergerianum,57552.55556,0.055555556
Acer caesium,152640,0
Acer campbellii,115957,0
Acer campbellii subsp. sinense,50781.5,0
Acer campestre,40262.62857,0
Acer campestre ssp. campestre,52766,0
Acer capillipes,65942,0
Acer cappadocicum,82952.66667,0
Acer cappadocicum subsp. lobelii,66185.5,0
Acer cappadocicum subsp. sinicum,152765,0
Acer carpinifolium,53098,0
Acer caudatifolium,154850.3333,0
Acer caudatum,75770.33333,0
Acer caudatum subsp. multiserratum,52853,0
Acer caudatum subsp. ukurundense,95774.6087,0
Acer ceriferum,55687,0
Acer circinatum,52929.4,0
Acer cissifolium,70489.66667,0
Acer cordatum,55252.4,0.4
Acer coriaceifolium,55799.8,0.4
Acer coriaceum,152742,0
Acer crataegifolium,66656.66667,0
Acer davidii,111460.6667,0
Acer davidii subsp. grosseri,54834.14286,0
Acer diabolicum,70491.66667,0
Acer distylum,104171.5,0
Acer erianthum,79504,0
Acer fabri,118315.6364,1
Acer garrettii,70024.75,1
Acer glabra,128422,0
Acer glabrum,46228.25,0
Acer glabrum var. diffusum,158500,0
Acer granatense,103301.5,0
Acer griseum,53445.4,0
Acer heldreichii,103404,0
Acer heldreichii subsp. trautvetteri,66456.75,0
Acer henryi,52435,0
