plot_id,,year,longitude,latitude,Biome,info_coverage,leaf_habit,sum_dbh,sum_tpd,num_ind
p653675,0,1989,-75.16629000000003,41.05565000000001,Temperate broadleaf forests,1.0,17.64380940909091,760.9839999999998,457.80335599999995,22
p653680,0,1989,-75.16629000000005,41.05565000000001,Temperate broadleaf forests,1.0,7.722634214285715,632.9680000000001,446.5085820000001,28
p653708,0,1989,-76.55522999999998,40.94452999999999,Temperate broadleaf forests,1.0,1.6010478333333336,857.7580000000003,271.430277,30
p6538,0,2010,-48.780000000000065,-27.72000000000002,Tropical moist broadleaf forests,1.0,98.96341774647888,1220.40001,710.0,71
p653805,0,1989,-75.05516999999998,41.44452999999999,Temperate broadleaf forests,1.0,1.2820513846153847,211.582,658.45627,13
p653860,0,1989,-78.16640000000002,41.722290000000015,Temperate broadleaf forests,1.0,0.6740899916666665,877.0619999999999,446.784416,24
p654,0,2015,-52.938259999999744,5.25885000000004,Tropical moist broadleaf forests,0.9559082892416224,97.8605254797048,13280.98,567.0,567
p6540,0,2010,-48.78000000000005,-27.72000000000002,Tropical moist broadleaf forests,1.0,99.76363918032787,893.81421,610.0,61
p654077,0,1989,-78.97197000000004,39.833420000000004,Temperate broadleaf forests,1.0,0.9202410055555548,1247.394,525.9736320000001,36
p6542,0,2010,-48.77999999999998,-27.719999999999928,Tropical moist broadleaf forests,0.9918699186991871,99.93548811475412,1836.64808,1230.0,123
p65429,0,2010,10.128,64.01700000000001,Boreal forests or taiga,1.0,58.33333333333334,184.3,480.0,12
p654322,0,1989,-79.74978000000007,41.41672999999999,Temperate broadleaf forests,1.0,0.9034497117647058,1009.3960000000001,301.3874090000001,34
p654373,0,1989,-79.52754999999992,41.888950000000015,Temperate broadleaf forests,1.0,40.919088408888896,1259.84,411.605738,45
p654378,0,1989,-79.38866000000003,41.66673000000001,Temperate broadleaf forests,1.0,5.226327678571431,1079.754,212.690712,28
p654387,0,1989,-79.05531999999997,41.77784000000001,Temperate broadleaf forests,1.0,0.8790520823529413,739.1400000000001,387.018545,17
p654523,0,1989,-75.44407,41.25009,Temperate broadleaf forests,1.0,5.880984615384616,1154.684,345.7516060000001,39
p654649,0,1989,-76.22188,41.4723,Temperate broadleaf forests,1.0,1.288404,13.462,21.26621,1
p654737,0,2006,-109.3624,31.809330000000035,Tropical coniferous forests,1.0,100.0,990.092,1054.0986200000002,48
p654747,0,2006,-113.0118,36.02148,Xeric shrublands,1.0,100.0,509.778,267.56226000000004,18
p6548,0,2007,107.43940000000006,15.91471000000001,Tropical moist broadleaf forests,0.8571428571428571,98.4375,676.0,568.6388400000001,28
p654844,0,2006,-111.3202,34.210629999999995,Temperate conifer forests,1.0,100.0,239.26800000000003,148.64570000000003,10
p654847,0,2006,-109.84180000000002,32.64224000000001,Tropical coniferous forests,1.0,92.31778692307691,738.8860000000002,386.47882,26
p654864,0,2006,-110.41049999999996,32.676180000000016,Tropical coniferous forests,1.0,99.9882993939394,799.5920000000001,660.8304400000001,33
p65490,0,2011,10.635999999999996,64.04200000000002,Boreal forests or taiga,1.0,100.0,146.8,320.0,8
p654945,0,2006,-110.5116,34.20929,Temperate conifer forests,1.0,100.0,40.385999999999996,44.593709999999994,3
p655,0,2015,-52.93739999999973,5.2591130000000375,Tropical moist broadleaf forests,0.9613899613899614,97.18340279116462,11744.82,518.0,518
p65526,0,2012,10.799000000000005,63.777,Boreal forests or taiga,1.0,44.444444444444436,108.6,360.0,9
p6553,0,2004,151.03940000000068,-27.803719999999934,Tropical grasslands,1.0,100.0,4610.5,593.4542400000001,240
p6554,0,2006,-66.23076000000002,-17.28721000000001,Tropical dry broadleaf forests,1.0,88.88889,282.0,500.80159999999984,13
